policy,bw_mbit,obj_label,client,iteration,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
ewma,20,10K,h4,10,10240,52.0,15,1,127.9588,127.355,4.8346,134.0413,0.6411,0.6432,0.0245,0.6764,63.6575,64.277,3.0285,67.2548,0.0,0,0.0,0.0,61.3571,62.245,3.4373,66.1587,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,1,10240,6.0,15,1,17.2715,17.22,0.2324,17.669,4.7439,4.7573,0.0633,4.8114,10.5953,10.577,0.2035,10.9226,0.0,0,0.0,0.0,7.2456,7.256,0.0795,7.362,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,2,10240,6.0,15,1,17.2289,17.294,0.2135,17.4652,4.7555,4.7369,0.0596,4.8643,10.6955,10.689,0.1321,10.9066,0.0,0,0.0,0.0,7.2453,7.247,0.0727,7.3485,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,3,10240,6.0,15,1,17.2235,17.207,0.1774,17.4764,4.7568,4.7609,0.049,4.8151,10.6518,10.707,0.1981,10.8884,0.0,0,0.0,0.0,7.2279,7.236,0.0575,7.3151,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,4,10240,6.0,15,1,17.2783,17.262,0.1604,17.5065,4.7416,4.7457,0.0441,4.8062,10.6589,10.647,0.1617,10.8771,0.0,0,0.0,0.0,7.2472,7.215,0.0856,7.3769,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,5,10240,6.0,15,1,17.3121,17.22,0.3613,17.8187,4.7338,4.7573,0.0937,4.8128,10.7089,10.694,0.3589,11.1221,0.0,0,0.0,0.0,7.2487,7.248,0.0836,7.3937,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,6,10240,6.0,15,1,17.2987,17.231,0.1575,17.5587,4.736,4.7542,0.0428,4.7888,10.6432,10.611,0.1598,10.8958,0.0,0,0.0,0.0,7.2386,7.24,0.0425,7.3002,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,7,10240,6.0,15,1,17.2189,17.2,0.2141,17.5289,4.7582,4.7628,0.0582,4.8202,10.6522,10.7,0.2113,10.927,0.0,0,0.0,0.0,7.2356,7.213,0.0664,7.3235,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,8,10240,6.0,15,1,17.3105,17.343,0.2832,17.651,4.7336,4.7235,0.0756,4.8239,10.7171,10.666,0.3378,11.1353,0.0,0,0.0,0.0,7.2733,7.237,0.1066,7.4576,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h2,9,10240,6.0,15,1,17.2405,17.265,0.226,17.6005,4.7524,4.7449,0.0622,4.84,10.6688,10.657,0.1495,10.8546,0.0,0,0.0,0.0,7.2539,7.252,0.0906,7.3765,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
