policy,bw_mbit,obj_label,client,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total,fct_ms_median_iter_mean,fct_ms_median_iter_std,goodput_mbps_median_iter_mean,goodput_mbps_median_iter_std,trasferimento_ms_median_iter_mean,trasferimento_ms_median_iter_std,retrans_median_iter_mean,retrans_median_iter_std,srtt_ms_median_iter_mean,srtt_ms_median_iter_std,iw_applied_median_iter_mean,iw_applied_median_iter_std,max_cwnd_median_iter_mean,max_cwnd_median_iter_std,retrans_flow_pct_iter_mean,retrans_flow_pct_iter_std
metrics,20,30K,h4,30720,52.0,150,10,192.2027,192.7185,8.179,204.9916,1.281,1.2752,0.055,1.3779,128.8905,129.033,6.5597,140.3997,0.0,0.0,0.0,0.0,60.3944,59.6465,3.8336,67.4358,10.0,10.0,0.0,10.0,32.6667,33.0,1.2514,33.0,0.0,0,192.4487,4.4439,1.2777,0.0307,128.83,3.5339,0.0,0.0,59.9641,1.6826,10.0,0.0,33.0,0.0,0.0,0.0
static10,20,30K,h2,30720,6.0,150,10,26.433,26.3965,0.379,27.1606,9.2994,9.3103,0.1325,9.4885,19.86,19.7655,0.3026,20.4511,0.0,0.0,0.0,0.0,8.5343,8.5465,0.1668,8.8098,10.0,10.0,0.0,10.0,26.8733,27.0,1.6641,28.0,0.0,0,26.3782,0.171,9.3171,0.0609,19.7979,0.1368,0.0,0.0,8.5523,0.057,10.0,0.0,27.0,0.0,0.0,0.0
static10,20,30K,h3,30720,22.0,150,10,88.1479,88.3435,4.1982,94.7017,2.7944,2.7819,0.1352,3.0468,61.3373,61.108,3.5061,66.8537,0.0,0.0,0.0,0.0,25.3083,25.242,0.4169,25.927,10.0,10.0,0.0,10.0,33.0,33.0,0.0,33.0,0.0,0,87.6444,2.3162,2.8059,0.0788,60.9354,1.5576,0.0,0.0,25.2674,0.2543,10.0,0.0,33.0,0.0,0.0,0.0
static10,20,30K,h4,30720,52.0,150,10,191.9754,192.0945,8.9208,205.2782,1.2829,1.2794,0.0602,1.3855,128.1653,128.111,7.109,139.8283,0.0,0.0,0.0,0.0,59.5615,58.3675,3.5212,65.8196,10.0,10.0,0.0,10.0,32.5667,33.0,1.4114,33.0,0.0,0,192.8775,4.787,1.2749,0.0325,128.6808,3.1298,0.0,0.0,58.4275,1.3455,10.0,0.0,33.0,0.0,0.0,0.0
statichigh,20,30K,h2,30720,6.0,150,10,25.7156,25.7215,0.2945,26.1484,9.5581,9.5547,0.1082,9.7161,19.1364,19.1415,0.2297,19.4422,0.0,0.0,0.0,0.0,12.1832,12.2455,0.2591,12.3556,24.0,24.0,0.0,24.0,32.2933,32.0,0.4568,33.0,0.0,0,25.6999,0.114,9.5629,0.0426,19.1294,0.0608,0.0,0.0,12.2521,0.0329,24.0,0.0,32.0,0.0,0.0,0.0
statichigh,20,30K,h3,30720,22.0,150,10,65.6002,65.596,2.5147,68.9074,3.7519,3.7466,0.1459,4.0173,38.837,39.676,1.6886,40.5612,0.0,0.0,0.0,0.0,25.1957,25.2025,0.2486,25.4372,24.0,24.0,0.0,24.0,45.0667,45.0,0.4123,45.0,0.0,0,65.8087,1.359,3.7359,0.0791,39.5952,0.7625,0.0,0.0,25.195,0.1025,24.0,0.0,45.0,0.0,0.0,0.0
statichigh,20,30K,h4,30720,52.0,150,10,134.5044,135.103,5.588,143.0793,1.8303,1.8191,0.0766,1.9627,71.1697,71.0835,3.4914,75.4583,0.0,0.0,0.0,0.0,57.0483,56.159,2.0267,61.3667,24.0,24.0,0.0,24.0,46.9867,47.0,0.1151,47.0,0.0,0,134.3644,3.1319,1.83,0.0435,71.6577,2.2331,0.0,0.0,56.3451,0.5056,24.0,0.0,47.0,0.0,0.0,0.0
ewma,50,10K,h2,10240,6.0,150,10,14.7332,14.7535,0.2429,15.1154,5.5617,5.5526,0.0906,5.6995,8.1304,8.1065,0.1792,8.4219,0.0,0.0,0.0,0.0,6.6887,6.66,0.1402,6.9954,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,14.7394,0.0609,5.558,0.023,8.1115,0.0294,0.0,0.0,6.6588,0.0182,10.0,0.0,18.0,0.0,0.0,0.0
ewma,50,10K,h3,10240,22.0,150,10,57.0966,57.2595,2.8266,61.5574,1.4384,1.4307,0.0732,1.5701,30.4563,30.1195,2.1405,33.3967,0.0,0.0,0.0,0.0,26.7298,26.575,1.3941,28.7411,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,57.1288,0.8845,1.4343,0.0222,30.2048,0.8634,0.0,0.0,26.5937,0.6336,10.0,0.0,18.0,0.0,0.0,0.0
ewma,50,10K,h4,10240,52.0,150,10,128.2184,127.7525,5.614,137.3856,0.6401,0.6412,0.0281,0.6873,64.8852,64.4745,4.6048,72.6036,0.0,0.0,0.0,0.0,62.2308,62.297,3.201,67.4883,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,127.3922,1.4669,0.6431,0.0074,64.329,1.4781,0.0,0.0,62.3034,1.3319,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,50,10K,h2,10240,6.0,150,10,14.7618,14.741,0.2142,15.1119,5.5506,5.5573,0.0795,5.6668,8.1472,8.125,0.1601,8.346,0.0,0.0,0.0,0.0,6.6961,6.668,0.1245,6.968,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,14.7353,0.0683,5.5595,0.0257,8.1245,0.0279,0.0,0.0,6.6722,0.021,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,50,10K,h3,10240,22.0,150,10,57.0723,57.386,2.7931,61.249,1.4389,1.4275,0.0719,1.5726,30.1847,29.8075,2.1545,33.2965,0.0,0.0,0.0,0.0,26.7165,26.7055,1.3081,28.7587,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,57.488,0.581,1.4251,0.0144,29.9744,0.7403,0.0,0.0,26.5289,0.4943,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,50,10K,h4,10240,52.0,150,10,128.0505,128.24,5.6299,137.5627,0.641,0.6388,0.0285,0.6906,64.1716,64.0085,4.5828,71.8073,0.0,0.0,0.0,0.0,61.8441,61.603,3.0718,67.0189,10.0,10.0,0.0,10.0,18.0133,18.0,0.1151,18.0,0.0,0,128.01,2.4802,0.6402,0.0127,63.8049,0.6689,0.0,0.0,61.8099,0.7065,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,50,10K,h2,10240,6.0,150,10,14.7755,14.7415,0.298,15.3742,5.5465,5.5571,0.1084,5.6782,8.1858,8.13,0.2531,8.6722,0.0,0.0,0.0,0.0,6.7123,6.6655,0.1651,7.0446,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,14.7453,0.0599,5.5558,0.0226,8.1328,0.0562,0.0,0.0,6.6659,0.0191,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,50,10K,h3,10240,22.0,150,10,57.0217,57.0695,2.7818,61.6586,1.4401,1.4354,0.0719,1.5801,30.1207,29.692,2.154,33.2077,0.0,0.0,0.0,0.0,26.595,26.371,1.3527,28.8011,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,57.0599,0.7715,1.4359,0.0193,30.1175,0.7818,0.0,0.0,26.5423,0.5518,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,50,10K,h4,10240,52.0,150,10,127.9848,127.35,6.2383,139.0189,0.6416,0.6433,0.0313,0.6924,64.2424,64.3285,4.7358,72.6073,0.0,0.0,0.0,0.0,62.0188,61.865,3.2439,68.2623,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,128.0057,2.098,0.6401,0.0104,64.1355,0.9842,0.0,0.0,61.6899,0.9019,10.0,0.0,18.0,0.0,0.0,0.0
metrics,50,10K,h2,10240,6.0,150,10,14.7233,14.699,0.2377,15.0908,5.5654,5.5732,0.0884,5.692,8.1131,8.096,0.177,8.3953,0.0,0.0,0.0,0.0,6.691,6.6515,0.1483,7.0191,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,14.7135,0.0962,5.5679,0.0366,8.0944,0.0338,0.0,0.0,6.6569,0.0312,10.0,0.0,18.0,0.0,0.0,0.0
metrics,50,10K,h3,10240,22.0,150,10,56.2912,56.5615,3.0227,61.3357,1.4595,1.4483,0.0785,1.5769,29.5596,29.4015,2.4651,33.219,0.0,0.0,0.0,0.0,26.326,25.985,1.507,28.7983,10.0,10.0,0.0,10.0,18.0067,18.0,0.0816,18.0,0.0,0,56.4179,1.4329,1.4529,0.0385,29.5884,0.8855,0.0,0.0,26.1507,0.6698,10.0,0.0,18.0,0.0,0.0,0.0
metrics,50,10K,h4,10240,52.0,150,10,126.8198,127.501,6.4463,136.4851,0.6476,0.6425,0.0335,0.7102,63.8472,63.8915,4.5183,71.6479,0.0,0.0,0.0,0.0,61.4449,61.31,3.3739,67.3075,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,126.9242,3.8687,0.646,0.0208,63.5201,1.6169,0.0,0.0,61.3834,1.7652,10.0,0.0,18.0,0.0,0.0,0.0
static10,50,10K,h2,10240,6.0,150,10,14.7012,14.7095,0.2399,15.1532,5.5738,5.5692,0.0902,5.7102,8.1343,8.1,0.1601,8.4494,0.0,0.0,0.0,0.0,6.6815,6.659,0.1145,6.9002,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,14.7048,0.0696,5.5711,0.0264,8.1068,0.0438,0.0,0.0,6.6549,0.022,10.0,0.0,18.0,0.0,0.0,0.0
static10,50,10K,h3,10240,22.0,150,10,56.7453,57.1585,3.3074,61.8376,1.4486,1.4332,0.0857,1.591,29.8917,29.7225,2.4134,33.3196,0.0,0.0,0.0,0.0,26.5041,26.2355,1.5013,28.7927,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,57.0789,1.8363,1.4366,0.0486,29.9013,1.2922,0.0,0.0,26.3889,0.9503,10.0,0.0,18.0,0.0,0.0,0.0
static10,50,10K,h4,10240,52.0,150,10,126.8888,127.395,6.6366,137.6713,0.6474,0.643,0.034,0.7023,63.6484,64.005,4.6091,71.6337,0.0,0.0,0.0,0.0,61.2477,61.5145,3.746,67.1819,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,127.5745,3.1402,0.6425,0.0166,63.6379,1.6568,0.0,0.0,61.4384,2.0771,10.0,0.0,18.0,0.0,0.0,0.0
statichigh,50,10K,h2,10240,6.0,150,10,14.7147,14.682,0.2206,15.0961,5.5684,5.5796,0.0817,5.6788,8.1174,8.097,0.1652,8.2792,0.0,0.0,0.0,0.0,6.8723,6.8345,0.1364,7.142,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,14.6821,0.0701,5.5797,0.0266,8.1013,0.0354,0.0,0.0,6.8406,0.0329,24.0,0.0,24.0,0.0,0.0,0.0
statichigh,50,10K,h3,10240,22.0,150,10,56.5764,56.8695,3.1551,61.1396,1.4526,1.4405,0.0839,1.6048,29.9749,29.624,2.3497,33.193,0.0,0.0,0.0,0.0,26.5154,26.314,1.3976,28.7401,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,57.0088,0.8171,1.4372,0.0203,29.905,0.6487,0.0,0.0,26.4904,0.4794,24.0,0.0,24.0,0.0,0.0,0.0
