policy,bw_mbit,obj_label,client,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total,fct_ms_median_iter_mean,fct_ms_median_iter_std,goodput_mbps_median_iter_mean,goodput_mbps_median_iter_std,trasferimento_ms_median_iter_mean,trasferimento_ms_median_iter_std,retrans_median_iter_mean,retrans_median_iter_std,srtt_ms_median_iter_mean,srtt_ms_median_iter_std,iw_applied_median_iter_mean,iw_applied_median_iter_std,max_cwnd_median_iter_mean,max_cwnd_median_iter_std,retrans_flow_pct_iter_mean,retrans_flow_pct_iter_std
ewma,50,200K,h4,204800,52.0,150,10,264.5379,256.9635,36.9498,321.0916,6.2735,6.376,0.5859,6.7644,200.8663,194.0285,36.7072,258.4186,0.0,0.0,0.0,0.0,55.0935,54.371,2.263,59.7869,105.9467,108.0,38.1672,142.0,122.0733,118.5,22.7906,142.0,0.0,0,256.6474,2.0947,6.3842,0.0519,193.3286,1.9803,0.0,0.0,54.264,0.4789,118.0,20.7632,122.5,16.8276,0.0,0.0
lossaware,50,200K,h2,204800,6.0,150,10,48.8372,48.809,1.6961,53.2165,33.5864,33.5676,1.1084,34.8557,42.2479,42.233,1.6503,46.427,1.34,0.0,2.585,7.55,8.2903,8.3565,0.2781,8.6756,25.84,26.0,8.2577,40.0,43.5667,43.5,4.861,50.55,26.667,329,48.777,0.3034,33.5908,0.2096,42.2218,0.3291,0.0,0.0,8.361,0.0627,26.0,1.4142,43.2,1.4757,26.667,0.0
lossaware,50,200K,h3,204800,22.0,150,10,128.286,116.4185,28.3078,184.6555,13.224,14.0734,2.1113,15.2717,101.3027,89.605,28.0699,156.2588,0.4067,0.0,0.8035,2.0,25.4205,25.4695,0.4846,26.2948,86.86,92.5,32.5042,130.0,144.1,146.0,11.4316,150.0,22.667,261,116.5041,1.0871,14.0641,0.1315,89.2847,0.8466,0.0,0.0,25.4519,0.1072,92.4,12.9803,146.3,0.6749,22.667,3.443
lossaware,50,200K,h4,204800,52.0,150,10,263.1414,256.8185,29.6015,322.8285,6.2829,6.3796,0.5142,6.7582,199.4375,193.537,29.0734,259.3197,0.0,0.0,0.0,0.0,55.4707,54.533,2.5441,61.8711,114.8133,114.0,36.0414,142.0,126.9067,139.0,19.1348,142.0,0.0,0,257.3178,1.8691,6.3675,0.0462,193.7025,0.8124,0.0,0.0,54.529,0.5334,125.6,17.5132,126.6,16.3245,0.0,0.0
lossaware-disc,50,200K,h2,204800,6.0,150,10,48.6148,48.421,1.5993,53.0602,33.7361,33.8366,1.0553,34.8708,41.9962,41.742,1.5712,46.2869,1.3267,0.0,2.5104,7.55,8.238,8.3005,0.2957,8.5985,26.5133,28.0,7.9662,40.0,44.1067,44.0,4.7475,50.55,34.667,286,48.2902,0.442,33.9308,0.3123,41.6815,0.4653,0.0,0.0,8.2958,0.0873,27.8,1.6865,44.7,1.567,34.667,6.126
lossaware-disc,50,200K,h3,204800,22.0,150,10,131.4202,116.6485,36.5897,221.5353,13.0882,14.0456,2.3588,15.318,104.7012,89.86,36.2767,194.3891,0.44,0.0,0.8393,2.0,25.4468,25.445,0.4668,26.2287,86.5467,93.0,30.4295,128.55,144.76,146.0,10.8712,151.1,23.333,231,116.6447,1.0338,14.0471,0.1246,89.6546,0.7103,0.0,0.0,25.4608,0.0663,91.6,5.7194,146.8,1.0328,23.333,5.666
lossaware-disc,50,200K,h4,204800,52.0,150,10,264.4648,257.4045,32.0881,332.2583,6.2589,6.3651,0.538,6.7644,200.2098,192.2675,31.935,264.9353,0.0,0.0,0.0,0.0,55.2199,54.4815,2.1586,59.6474,114.6133,142.0,39.0424,142.0,128.5533,142.0,21.5053,142.0,0.0,0,257.275,2.3388,6.3688,0.0574,192.3619,1.8514,0.0,0.0,54.5576,0.9515,125.4,21.5056,128.8,17.0476,0.0,0.0
metrics,50,200K,h2,204800,6.0,150,10,53.4917,53.3505,0.7557,54.8984,30.6351,30.7101,0.4283,31.171,46.8858,46.742,0.7173,48.3037,0.0,0.0,0.0,0.0,8.2004,8.195,0.0588,8.2952,10.0,10.0,0.0,10.0,40.2,40.0,0.602,41.0,0.0,0,53.3397,0.3146,30.7173,0.1811,46.7439,0.308,0.0,0.0,8.1975,0.0261,10.0,0.0,40.0,0.0,0.0,0.0
metrics,50,200K,h3,204800,22.0,150,10,154.3851,153.6695,9.6253,161.5643,10.6482,10.6618,0.5817,11.4845,127.4959,126.1835,9.4842,134.1201,0.0,0.0,0.0,0.0,24.4209,24.503,0.369,24.7862,10.0,10.0,0.0,10.0,125.8667,130.0,18.8998,131.0,0.0,0,153.3134,4.2054,10.6942,0.3088,126.4848,3.2965,0.0,0.0,24.4749,0.0993,10.0,0.0,129.6,0.5164,0.0,0.0
metrics,50,200K,h4,204800,52.0,150,10,355.2945,338.262,43.348,439.5477,4.6738,4.8436,0.5178,5.3059,292.3193,273.3905,43.4718,378.1264,0.0,0.0,0.0,0.0,54.7831,53.2915,2.9072,61.3294,10.0,10.0,0.0,10.0,118.26,153.0,50.4621,153.0,0.0,0,343.5772,17.425,4.7798,0.2455,278.6032,17.3089,0.0,0.0,53.5143,0.5196,10.0,0.0,143.0,17.8326,0.0,0.0
static10,50,200K,h2,204800,6.0,150,10,53.3547,53.159,0.7368,54.7711,30.7135,30.8207,0.4196,31.2092,46.7619,46.5995,0.6802,48.0922,0.0,0.0,0.0,0.0,8.2006,8.2005,0.0578,8.3018,10.0,10.0,0.0,10.0,40.2467,40.0,0.6547,41.55,0.0,0,53.1618,0.1914,30.8195,0.111,46.6023,0.1957,0.0,0.0,8.1978,0.0238,10.0,0.0,40.0,0.0,0.0,0.0
static10,50,200K,h3,204800,22.0,150,10,153.843,152.9265,10.9512,177.4819,10.696,10.7136,0.6577,11.5735,127.2147,126.28,10.4325,149.6824,0.0,0.0,0.0,0.0,24.4372,24.53,0.365,24.7703,10.0,10.0,0.0,10.0,125.1133,130.0,22.0114,131.0,0.0,0,152.0934,3.8677,10.779,0.2896,125.7301,3.0297,0.0,0.0,24.5242,0.0564,10.0,0.0,129.8,0.4216,0.0,0.0
static10,50,200K,h4,204800,52.0,150,10,354.5084,345.3025,37.9132,434.508,4.6707,4.7448,0.4658,5.3082,291.1215,278.1185,37.2924,371.0012,0.0,0.0,0.0,0.0,55.1823,53.317,2.9429,62.0352,10.0,10.0,0.0,10.0,114.22,153.0,48.239,153.0,0.0,0,350.1457,20.1503,4.6938,0.2817,285.8621,19.4168,0.0,0.0,53.9881,1.2888,10.0,0.0,129.4,32.5686,0.0,0.0
statichigh,50,200K,h2,204800,6.0,150,10,48.2412,47.88,4.0331,48.4416,34.081,34.2189,1.4282,34.4561,41.6412,41.293,3.9177,41.6778,0.0,0.0,0.0,0.0,8.5107,8.4665,0.1381,8.7422,24.0,24.0,0.0,24.0,45.08,44.0,1.7931,47.0,0.0,0,47.894,0.0673,34.2089,0.0481,41.2957,0.03,0.0,0.0,8.4787,0.0305,24.0,0.0,44.7,0.9487,0.0,0.0
statichigh,50,200K,h3,204800,22.0,150,10,123.3952,123.5235,3.3477,127.8585,13.2876,13.2639,0.3672,13.953,96.5084,96.924,2.694,99.4914,0.0,0.0,0.0,0.0,24.8123,24.818,0.0622,24.902,24.0,24.0,0.0,24.0,144.0733,145.0,2.0104,147.0,0.0,0,123.5373,1.0731,13.2633,0.1155,96.841,1.0387,0.0,0.0,24.82,0.0194,24.0,0.0,145.0,0.0,0.0,0.0
statichigh,50,200K,h4,204800,52.0,150,10,266.7545,265.8535,9.8188,280.3106,6.1501,6.1628,0.222,6.5333,202.5981,202.432,9.3691,214.7832,0.0,0.0,0.0,0.0,53.63,53.6125,0.2653,53.6816,24.0,24.0,0.0,24.0,161.4133,167.0,17.418,167.0,0.0,0,266.8986,3.6811,6.1397,0.0851,202.4929,2.3858,0.0,0.0,53.6123,0.0046,24.0,0.0,167.0,0.0,0.0,0.0
ewma,50,30K,h2,30720,6.0,150,10,18.4024,18.108,1.1244,22.3381,13.3963,13.5719,0.6847,13.8615,11.8228,11.5565,1.0944,15.5949,0.0,0.0,0.0,0.0,8.0809,8.128,0.236,8.2343,21.2,22.0,3.0034,22.0,38.1,38.0,1.505,40.0,0.0,0,18.1254,0.0863,13.5591,0.0642,11.5524,0.0654,0.0,0.0,8.1312,0.0206,22.0,0.0,38.1,0.3162,0.0,0.0
ewma,50,30K,h3,30720,22.0,150,10,60.3709,59.34,6.8056,82.9267,4.1113,4.1416,0.366,4.4734,33.5473,32.526,6.7682,55.7822,0.0,0.0,0.0,0.0,24.775,24.1785,1.2181,26.5491,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,59.0847,1.0897,4.1607,0.0775,32.5377,0.098,0.0,0.0,24.4358,0.8116,22.0,0.0,45.0,0.0,0.0,0.0
ewma,50,30K,h4,30720,52.0,150,10,134.021,130.1405,17.5663,189.4066,1.8575,1.8884,0.1853,2.091,69.7544,66.604,16.4417,121.9181,0.0,0.0,0.0,0.0,61.0446,61.267,4.3337,67.3155,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,130.7249,2.2924,1.8805,0.0328,66.3621,1.7952,0.0,0.0,60.9046,1.3478,22.0,0.0,45.0,0.0,0.0,0.0
lossaware,50,30K,h2,30720,6.0,150,10,18.4741,18.165,1.1894,22.2682,13.3486,13.5293,0.7153,13.8171,11.8782,11.561,1.1576,15.7688,0.0,0.0,0.0,0.0,8.0893,8.141,0.2445,8.252,21.2,22.0,3.0034,22.0,38.1533,38.0,1.5227,40.0,0.0,0,18.1805,0.0706,13.518,0.0524,11.5709,0.0432,0.0,0.0,8.1395,0.0188,22.0,0.0,38.1,0.3162,0.0,0.0
lossaware,50,30K,h3,30720,22.0,150,10,60.742,59.6875,7.0702,83.2523,4.0878,4.1174,0.3656,4.4694,33.9028,32.7275,6.9976,56.4625,0.0,0.0,0.0,0.0,24.8714,24.305,1.3042,26.9659,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,59.6346,0.8266,4.1218,0.0567,32.7305,0.1276,0.0,0.0,24.4471,0.7829,22.0,0.0,45.0,0.0,0.0,0.0
lossaware,50,30K,h4,30720,52.0,150,10,133.7218,129.885,16.6684,185.0084,1.8593,1.8921,0.1755,2.0277,69.5701,66.4035,15.8749,121.5219,0.0,0.0,0.0,0.0,60.6058,61.1435,3.811,66.3761,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,129.7441,1.5335,1.8944,0.0225,66.1565,1.9968,0.0,0.0,61.2283,0.8194,22.0,0.0,45.0,0.0,0.0,0.0
lossaware-disc,50,30K,h2,30720,6.0,150,10,18.4838,18.1915,1.2375,22.3234,13.3446,13.5096,0.7333,13.8227,11.8543,11.557,1.2076,15.7677,0.0,0.0,0.0,0.0,8.0952,8.136,0.2279,8.2621,21.2,22.0,3.0034,22.0,38.1667,38.0,1.5257,40.0,0.0,0,18.1913,0.0156,13.5098,0.0116,11.5379,0.0532,0.0,0.0,8.13,0.0226,22.0,0.0,38.4,0.5164,0.0,0.0
lossaware-disc,50,30K,h3,30720,22.0,150,10,60.8489,59.3175,7.2693,82.9275,4.0825,4.1431,0.3719,4.4468,33.6574,32.5785,7.0622,55.7898,0.0,0.0,0.0,0.0,24.6022,23.9515,1.1861,26.7802,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,59.5457,1.1623,4.1287,0.081,32.5156,0.3438,0.0,0.0,24.0682,0.2325,22.0,0.0,45.0,0.0,0.0,0.0
lossaware-disc,50,30K,h4,30720,52.0,150,10,133.0096,129.7085,16.6236,185.7988,1.8698,1.8947,0.1803,2.0709,69.398,65.617,16.3251,123.725,0.0,0.0,0.0,0.0,60.0447,60.4525,3.9516,66.3542,21.2,22.0,3.0034,22.0,44.1,45.0,3.4305,45.0,0.0,0,129.9967,2.5634,1.8912,0.0376,65.5134,1.7898,0.0,0.0,60.4911,1.1899,22.0,0.0,45.0,0.0,0.0,0.0
metrics,50,30K,h2,30720,6.0,150,10,22.6321,22.46,0.606,23.9097,10.8663,10.9421,0.2791,11.1781,16.0286,15.845,0.5655,17.3029,0.0,0.0,0.0,0.0,7.272,7.244,0.12,7.5174,10.0,10.0,0.0,10.0,33.0,33.0,0.0,33.0,0.0,0,22.4462,0.1803,10.9495,0.0885,15.8178,0.1079,0.0,0.0,7.2475,0.048,10.0,0.0,33.0,0.0,0.0,0.0
metrics,50,30K,h3,30720,22.0,150,10,85.5455,85.9865,4.1299,91.5262,2.8797,2.8581,0.1435,3.1844,58.6863,58.87,3.6345,64.2075,0.0,0.0,0.0,0.0,25.9466,26.409,1.3964,27.6805,10.0,10.0,0.0,10.0,33.0,33.0,0.0,33.0,0.0,0,85.8023,2.9056,2.8674,0.1039,58.7467,2.1179,0.0,0.0,26.1008,0.9121,10.0,0.0,33.0,0.0,0.0,0.0
metrics,50,30K,h4,30720,52.0,150,10,190.647,191.368,8.1511,203.0283,1.2915,1.2842,0.0564,1.4039,127.7321,128.151,6.9277,138.4818,0.0,0.0,0.0,0.0,61.5282,61.9465,3.5959,66.9383,10.0,10.0,0.0,10.0,32.6,33.0,1.361,33.0,0.0,0,190.9656,5.9794,1.2881,0.0431,128.077,4.5232,0.0,0.0,61.9443,1.5654,10.0,0.0,33.0,0.0,0.0,0.0
static10,50,30K,h2,30720,6.0,150,10,22.7525,22.6055,0.637,24.1273,10.8096,10.8717,0.2938,11.1491,16.1762,15.964,0.6096,17.5154,0.0,0.0,0.0,0.0,7.3006,7.29,0.128,7.5557,10.0,10.0,0.0,10.0,33.0,33.0,0.0,33.0,0.0,0,22.5939,0.1456,10.8777,0.0711,15.9503,0.0887,0.0,0.0,7.2918,0.0688,10.0,0.0,33.0,0.0,0.0,0.0
static10,50,30K,h3,30720,22.0,150,10,85.6747,86.226,4.544,92.7027,2.8768,2.8502,0.1571,3.202,58.7268,59.1275,3.7533,64.4511,0.0,0.0,0.0,0.0,25.899,26.1935,1.374,27.694,10.0,10.0,0.0,10.0,33.0,33.0,0.0,33.0,0.0,0,85.8966,2.8351,2.8641,0.1014,58.7298,2.1969,0.0,0.0,26.0716,0.9085,10.0,0.0,33.0,0.0,0.0,0.0
static10,50,30K,h4,30720,52.0,150,10,190.7573,190.7015,8.3187,202.6381,1.2908,1.2887,0.057,1.3836,127.5684,127.8105,6.995,138.6641,0.0,0.0,0.0,0.0,61.3491,61.7035,3.5938,66.367,10.0,10.0,0.0,10.0,32.7333,33.0,1.1273,33.0,0.0,0,191.096,4.8366,1.2868,0.0337,127.4968,3.4691,0.0,0.0,61.8722,1.6452,10.0,0.0,33.0,0.0,0.0,0.0
statichigh,50,30K,h2,30720,6.0,150,10,18.1629,18.1415,0.2305,18.5244,13.533,13.5468,0.169,13.76,11.5431,11.525,0.1995,11.8592,0.0,0.0,0.0,0.0,8.5723,8.575,0.1299,8.7759,24.0,24.0,0.0,24.0,40.5067,40.0,0.5879,41.0,0.0,0,18.134,0.0701,13.5526,0.0524,11.5304,0.0557,0.0,0.0,8.5739,0.0122,24.0,0.0,40.5,0.527,0.0,0.0
statichigh,50,30K,h3,30720,22.0,150,10,58.9103,59.263,2.2593,61.9235,4.1781,4.1469,0.1652,4.4762,31.7965,32.506,1.6008,33.245,0.0,0.0,0.0,0.0,24.6225,23.933,1.2271,26.5461,24.0,24.0,0.0,24.0,46.9,47.0,0.301,47.0,0.0,0,59.1027,0.896,4.159,0.0631,32.462,0.1123,0.0,0.0,24.0986,0.5222,24.0,0.0,47.0,0.0,0.0,0.0
statichigh,50,30K,h4,30720,52.0,150,10,128.9215,128.755,5.5665,138.2756,1.9098,1.9087,0.0823,2.0404,65.3598,65.1075,3.7849,72.0094,0.0,0.0,0.0,0.0,59.8178,60.069,4.0396,66.7497,24.0,24.0,0.0,24.0,46.88,47.0,0.3261,47.0,0.0,0,128.8148,1.7674,1.9082,0.0262,65.4797,1.43,0.0,0.0,60.0318,0.7066,24.0,0.0,47.0,0.0,0.0,0.0
ewma,100,10K,h2,10240,6.0,150,10,13.9371,13.9075,0.2644,14.388,5.8799,5.8903,0.1083,6.0421,7.3383,7.293,0.21,7.6656,0.0,0.0,0.0,0.0,6.54,6.478,0.202,6.9509,10.0,10.0,0.0,10.0,18.0067,18.0,0.0816,18.0,0.0,0,13.9027,0.0522,5.8925,0.0222,7.2953,0.0416,0.0,0.0,6.4694,0.0329,10.0,0.0,18.0,0.0,0.0,0.0
ewma,100,10K,h3,10240,22.0,150,10,56.7257,57.2175,2.9124,61.1254,1.448,1.4317,0.0763,1.5773,29.7506,29.4935,2.4803,33.2381,0.0,0.0,0.0,0.0,26.589,26.446,1.4798,28.8939,10.0,10.0,0.0,10.0,18.0067,18.0,0.0816,18.0,0.0,0,57.1383,0.607,1.4339,0.0152,29.5749,0.4455,0.0,0.0,26.4088,0.2629,10.0,0.0,18.0,0.0,0.0,0.0
ewma,100,10K,h4,10240,52.0,150,10,127.8,128.3755,6.6401,138.2987,0.6428,0.6381,0.0341,0.7043,63.6963,63.746,5.013,72.0592,0.0,0.0,0.0,0.0,61.8807,62.0945,3.6742,67.1268,10.0,10.0,0.0,10.0,18.0067,18.0,0.0816,18.0,0.0,0,128.1522,2.3113,0.6394,0.0114,64.1369,1.8668,0.0,0.0,62.1839,1.2479,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,100,10K,h2,10240,6.0,150,10,14.1393,13.9265,2.2571,14.4915,5.8462,5.8823,0.3392,6.0415,7.5376,7.327,1.892,7.7976,0.0,0.0,0.0,0.0,6.5753,6.4645,0.4738,6.9815,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,13.9365,0.048,5.8782,0.0203,7.3388,0.061,0.0,0.0,6.4677,0.0457,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,100,10K,h3,10240,22.0,150,10,56.5686,57.0005,3.0817,60.7754,1.4526,1.4372,0.083,1.6054,29.661,29.531,2.3321,33.1029,0.0,0.0,0.0,0.0,26.5063,26.366,1.454,28.7666,10.0,10.0,0.0,10.0,18.0133,18.0,0.1151,18.0,0.0,0,56.961,0.9558,1.4385,0.0242,29.5296,0.6871,0.0,0.0,26.4683,0.5823,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,100,10K,h4,10240,52.0,150,10,127.6958,127.7095,6.188,137.9264,0.643,0.6415,0.0313,0.6997,63.9127,63.654,4.7922,71.8866,0.0,0.0,0.0,0.0,62.0966,62.361,3.2902,67.2366,10.0,10.0,0.0,10.0,18.02,18.0,0.1405,18.0,0.0,0,128.1996,1.9125,0.6391,0.0095,63.8552,1.4166,0.0,0.0,62.2268,0.854,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,100,10K,h2,10240,6.0,150,10,13.9774,13.9425,0.2751,14.4672,5.8631,5.8756,0.1138,6.0318,7.3711,7.33,0.2076,7.7368,0.0,0.0,0.0,0.0,6.5339,6.4705,0.184,6.9903,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,13.9741,0.0778,5.8624,0.0325,7.3074,0.0631,0.0,0.0,6.4739,0.0354,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,100,10K,h3,10240,22.0,150,10,56.757,56.989,3.2437,61.4147,1.4483,1.4375,0.087,1.6035,29.8813,29.814,2.3934,33.159,0.0,0.0,0.0,0.0,26.6173,26.538,1.5134,28.8517,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,57.0451,0.9595,1.4364,0.0243,30.3313,1.0362,0.0,0.0,26.8356,0.6158,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,100,10K,h4,10240,52.0,150,10,127.5996,127.5555,6.5217,137.4405,0.6437,0.6422,0.0334,0.6954,63.9836,64.162,4.5045,71.4266,0.0,0.0,0.0,0.0,61.8558,62.114,3.4627,66.9496,10.0,10.0,0.0,10.0,18.0067,18.0,0.0816,18.0,0.0,0,127.9732,1.4365,0.6402,0.0072,64.3821,1.0215,0.0,0.0,62.059,0.7299,10.0,0.0,18.0,0.0,0.0,0.0
metrics,100,10K,h2,10240,6.0,150,10,13.9375,13.927,0.3195,14.3462,5.8806,5.8821,0.1292,6.0417,7.3377,7.2785,0.2579,7.7319,0.0,0.0,0.0,0.0,6.5256,6.4625,0.1964,6.9797,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,13.9278,0.0383,5.8818,0.0162,7.269,0.0391,0.0,0.0,6.4681,0.0272,10.0,0.0,18.0,0.0,0.0,0.0
metrics,100,10K,h3,10240,22.0,150,10,56.4211,56.564,3.0417,61.0254,1.4562,1.4483,0.0794,1.5893,29.7541,29.585,2.3051,33.3505,0.0,0.0,0.0,0.0,26.577,26.377,1.4323,28.9919,10.0,10.0,0.0,10.0,18.0067,18.0,0.0816,18.0,0.0,0,56.559,0.5493,1.4485,0.0141,29.4855,0.6799,0.0,0.0,26.2973,0.5714,10.0,0.0,18.0,0.0,0.0,0.0
metrics,100,10K,h4,10240,52.0,150,10,128.5715,128.1795,6.2405,139.5413,0.6387,0.6391,0.0313,0.6923,64.6689,65.086,5.0571,72.6663,0.0,0.0,0.0,0.0,62.2966,62.437,3.5504,67.6367,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,128.4163,2.0724,0.6381,0.0104,64.8508,1.4217,0.0,0.0,62.4309,1.2922,10.0,0.0,18.0,0.0,0.0,0.0
static10,100,10K,h2,10240,6.0,150,10,13.9842,13.928,0.3286,14.6163,5.8612,5.8817,0.134,6.0464,7.3791,7.3015,0.2789,7.9132,0.0,0.0,0.0,0.0,6.5667,6.4575,0.2528,7.1319,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,13.919,0.067,5.8856,0.0285,7.3188,0.0809,0.0,0.0,6.4647,0.0345,10.0,0.0,18.0,0.0,0.0,0.0
static10,100,10K,h3,10240,22.0,150,10,56.6529,56.731,3.2805,61.5401,1.4509,1.444,0.0859,1.61,29.997,29.9415,2.4023,33.3136,0.0,0.0,0.0,0.0,26.6505,26.619,1.5861,28.9623,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,57.1266,1.2065,1.4346,0.0305,30.1408,0.8199,0.0,0.0,26.5979,0.7016,10.0,0.0,18.0,0.0,0.0,0.0
static10,100,10K,h4,10240,52.0,150,10,128.8798,129.2335,5.5997,137.225,0.6368,0.6339,0.0282,0.689,64.7838,64.52,4.4355,72.2528,0.0,0.0,0.0,0.0,62.5302,62.5765,3.1424,67.6004,10.0,10.0,0.0,10.0,18.0133,18.0,0.1151,18.0,0.0,0,129.3548,1.4434,0.6334,0.0071,64.3858,0.9339,0.0,0.0,62.6262,1.1558,10.0,0.0,18.0,0.0,0.0,0.0
statichigh,100,10K,h2,10240,6.0,150,10,13.9573,13.9365,0.308,14.5285,5.8721,5.8781,0.1257,6.0383,7.3697,7.298,0.2614,7.7966,0.0,0.0,0.0,0.0,6.6422,6.5675,0.2116,7.097,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,13.9121,0.0805,5.8886,0.0341,7.2959,0.0223,0.0,0.0,6.5606,0.0321,24.0,0.0,24.0,0.0,0.0,0.0
statichigh,100,10K,h3,10240,22.0,150,10,56.5714,56.766,3.1485,60.9037,1.4527,1.4431,0.0842,1.5983,29.9232,29.9205,2.4715,33.3107,0.0,0.0,0.0,0.0,26.6008,26.4265,1.5366,28.8232,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,56.6553,1.2373,1.4465,0.0312,29.7953,0.9698,0.0,0.0,26.3203,0.8198,24.0,0.0,24.0,0.0,0.0,0.0
statichigh,100,10K,h4,10240,52.0,150,10,128.0893,128.544,6.296,138.456,0.6411,0.6373,0.0319,0.6914,64.496,64.352,4.8234,72.6854,0.0,0.0,0.0,0.0,62.3735,62.4925,3.3069,67.7422,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,128.7233,1.7189,0.6365,0.0085,64.3375,1.5134,0.0,0.0,62.4498,0.8996,24.0,0.0,24.0,0.0,0.0,0.0
ewma,100,10M,h2,10485760,6.0,150,10,943.3852,944.4125,6.894,948.219,88.9249,88.8236,0.6421,89.924,936.7595,937.92,6.8692,941.5246,27.3733,29.0,5.32,34.0,6.9584,6.9605,0.1424,7.2036,67.38,71.0,15.3944,72.0,71.6,72.0,0.4915,72.0,100.0,0,944.3725,0.7697,88.8274,0.0724,937.7244,0.7767,28.3,1.1595,6.954,0.0345,71.5,0.527,71.6,0.5164,100.0,0.0
ewma,100,10M,h3,10485760,22.0,150,10,1329.3135,1300.3575,121.9476,1494.9852,63.5674,64.5101,5.182,72.1885,1302.5429,1271.7105,122.0192,1467.9283,20.2533,10.0,24.13,69.4,22.7669,22.693,0.2926,23.5327,160.5733,160.0,43.4235,207.0,171.4667,171.5,16.4446,207.0,100.0,0,1320.0795,83.2322,63.7777,4.0906,1293.6504,82.7599,15.7,14.1347,22.6792,0.0599,171.3,17.3976,171.4,17.2833,100.0,0.0
ewma,100,10M,h4,10485760,52.0,150,10,1592.8042,1553.7265,285.114,1838.29,53.6838,53.9903,6.0539,59.9271,1526.8199,1486.0245,285.5054,1770.715,15.3067,10.0,27.9491,40.95,52.8489,52.7925,0.3564,53.4209,387.3467,408.0,109.4876,463.0,415.9867,424.0,43.13,463.0,97.333,0,1551.0092,123.6168,54.3868,4.2186,1484.4936,122.2875,9.2,2.7406,52.7918,0.0849,412.9,47.7038,412.9,47.7038,97.333,3.443
lossaware,100,10M,h2,10485760,6.0,150,10,935.2995,934.1585,3.7783,942.557,89.6905,89.7986,0.3612,90.1136,928.6546,927.487,3.7794,935.7648,13.2867,13.0,2.2831,16.55,7.2671,7.2545,0.0864,7.4238,10.0,10.0,0.0,10.0,71.5933,72.0,0.5446,72.0,100.0,1200,934.0661,0.7937,89.8075,0.0763,927.4209,0.7997,13.2,0.6325,7.2532,0.0157,10.0,0.0,71.8,0.4216,100.0,0.0
lossaware,100,10M,h3,10485760,22.0,150,10,1284.8121,1191.4725,174.253,1677.5918,66.3219,70.4054,7.6896,73.4883,1257.9294,1164.1865,174.3087,1650.6602,77.36,91.0,32.5121,105.0,22.746,22.722,0.1833,22.9532,10.0,10.0,0.0,10.0,179.9133,176.0,14.778,209.0,100.0,1200,1209.1297,29.1045,69.4128,1.6398,1181.8241,29.1081,90.4,1.5776,22.7224,0.0315,10.0,0.0,176.0,0.0,100.0,0.0
lossaware,100,10M,h4,10485760,52.0,150,10,1804.3075,1653.136,446.027,2910.4481,48.5081,50.7436,8.5536,58.0328,1738.0046,1590.5725,446.9053,2840.221,91.5467,35.0,96.7373,265.1,53.4934,53.03,1.5268,57.09,74.8133,14.5,107.841,389.0,423.0933,458.0,62.771,483.55,83.333,1005,1641.8812,33.7072,51.1107,1.0427,1575.5865,33.8093,53.5,44.9895,53.0118,0.1228,35.8,35.7765,450.4,23.143,83.333,10.062
