policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
lossaware-disc,100,1M,1048576,,450,10,302.8467,268.242,181.7087,580.7041,39.6253,31.2726,22.4064,70.4621,269.9347,242.17,159.44,523.3179,37.5689,13.0,39.0945,105.0,28.1553,22.6185,20.2116,58.0746,65.5756,10.0,73.6966,217.0,169.0222,156.0,111.7766,438.75,79.333,43
metrics,100,1M,1048576,,450,10,363.0016,272.8445,258.9077,801.769,37.3044,30.745,23.9063,70.3888,330.0231,246.1595,237.8146,733.3056,45.3,12.0,43.64,105.0,28.624,22.6355,20.8909,60.2004,10.0,10.0,0.0,10.0,159.5089,156.0,107.2262,390.55,79.778,0
static10,100,1M,1048576,,450,10,369.3593,273.348,269.3629,958.278,37.1791,30.6884,23.8813,70.402,336.3436,246.196,248.1201,892.7144,45.3911,13.0,43.1129,105.0,28.6072,22.6465,20.7927,60.262,10.0,10.0,0.0,10.0,156.3756,156.0,107.3579,399.1,80.222,0
statichigh,100,1M,1048576,,450,10,299.5078,223.623,196.9455,601.6831,43.154,37.5123,25.6519,77.6578,266.3298,196.9875,172.7009,535.3833,55.7733,16.0,52.4212,123.0,28.4438,23.93,20.0923,57.3825,24.0,24.0,0.0,24.0,166.4111,180.0,105.1781,396.0,80.667,0
ewma,100,200K,204800,,450,10,150.3298,144.6255,91.5992,268.9778,18.2587,11.3286,13.4719,40.7138,117.7634,117.8905,68.5355,203.8894,8.8267,4.0,10.2562,26.0,30.5827,25.244,21.3993,63.2237,105.68,115.0,41.3212,142.0,114.7511,142.0,33.452,142.0,58.889,0
lossaware,100,200K,204800,,450,10,146.9173,120.053,91.8444,273.6791,17.9803,13.6473,12.2499,36.0795,114.3777,93.364,68.6629,205.9939,3.7,0.0,5.019,13.0,30.1755,23.8595,22.098,63.9961,67.4378,63.0,53.6764,142.0,107.2,116.0,32.8944,142.0,42.0,1524
lossaware-disc,100,200K,204800,,450,10,147.2895,120.6435,92.5379,268.4146,17.9953,13.5805,12.3339,36.1778,114.5501,93.3455,69.3868,203.2267,3.7556,0.0,4.8636,12.0,30.0895,23.9535,21.7262,64.0402,66.5867,71.5,50.7503,142.0,105.2689,115.0,33.1991,142.0,45.111,261
metrics,100,200K,204800,,450,10,185.9734,151.0235,130.9419,430.8108,16.7702,10.8486,13.1904,36.2108,153.1398,123.9145,107.2685,364.5041,3.4267,0.0,5.0065,13.0,29.8537,23.374,22.0624,64.5783,10.0,10.0,0.0,10.0,103.5644,91.0,48.196,153.0,33.333,0
static10,100,200K,204800,,450,10,185.5153,152.751,128.3135,392.4604,16.714,10.726,13.1876,36.1762,152.7587,126.587,104.6947,324.6811,3.3933,0.0,4.9621,12.0,30.1614,23.3835,22.235,65.328,10.0,10.0,0.0,10.0,102.4733,73.0,47.1522,153.0,33.333,0
statichigh,100,200K,204800,,450,10,149.1462,120.7625,105.7059,325.5355,20.4631,13.5671,15.5838,42.5079,116.2865,93.9105,81.8086,261.1712,4.5956,0.0,6.5797,15.55,30.0036,23.456,22.3092,65.9437,24.0,24.0,0.0,24.0,119.2111,137.5,49.4233,167.0,33.333,0
ewma,100,30K,30720,,450,10,69.3208,58.2585,49.515,136.4362,7.1789,4.2184,5.9769,15.9638,36.949,30.453,26.7828,72.2998,0.0,0.0,0.0,0.0,31.0238,24.5755,22.5622,65.4236,21.2267,22.0,2.9498,22.0,44.2044,45.0,3.0516,45.0,0.0,0
lossaware,100,30K,30720,,450,10,69.6546,58.4105,49.6399,137.4425,7.1592,4.2075,5.9787,15.9611,37.0992,30.4885,26.8731,72.047,0.0,0.0,0.0,0.0,31.0097,24.9905,22.4749,65.0989,21.2,22.0,2.9967,22.0,44.1889,45.0,3.0471,45.0,0.0,0
lossaware-disc,100,30K,30720,,450,10,69.4661,58.1575,49.5404,135.9111,7.1734,4.2258,5.9888,16.0066,37.0769,30.476,26.962,71.228,0.0,0.0,0.0,0.0,31.1914,24.7145,22.7522,65.3931,21.2,22.0,2.9967,22.0,44.1889,45.0,3.0471,45.0,0.0,0
metrics,100,30K,30720,,450,10,99.4119,86.108,70.0191,198.9592,5.2165,2.8541,4.5,11.8787,67.095,59.2375,46.5134,134.3955,0.0,0.0,0.0,0.0,31.6824,26.799,22.7044,65.2638,10.0,10.0,0.0,10.0,32.8222,33.0,0.9269,33.0,0.0,0
static10,100,30K,30720,,450,10,99.7718,85.814,70.3456,199.1474,5.1794,2.8639,4.4533,11.8262,67.3339,59.139,46.7453,134.7255,0.0,0.0,0.0,0.0,31.745,26.9495,22.8003,65.7561,10.0,10.0,0.0,10.0,32.8667,33.0,0.8064,33.0,0.0,0
statichigh,100,30K,30720,,450,10,67.2105,57.916,46.7144,134.2398,7.309,4.2434,6.0464,16.0051,34.7984,30.457,23.1172,69.7324,0.0,0.0,0.0,0.0,31.1767,24.6725,22.5602,65.6693,24.0,24.0,0.0,24.0,46.6667,47.0,0.4719,47.0,0.0,0
